message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,,,
Why should we want people in America that will try and force their cultures on us? We only want people that will work and LOVE America. The years of our taxpayers supporting deadbeats are over. #TrumpPence2020,0,2018-02-24 12:36:39,2158,1939,161,6,43,1,9,-1,,,
Russians?  They are now coming in to have American citizen babies.,0,2018-02-24 12:40:08,0,0,0,0,0,0,0,0,,,
Just because someone has a different culture does not mean they are forcing it on you. In this country we have freedom of religion. It's part of what makes America great.,0,2018-02-24 12:40:20,9,8,0,0,1,0,0,0,,,
Yeah please don't force your tacos on me Mexico,0,2018-02-24 12:41:02,7,2,0,0,5,0,0,0,,,
"yep. The usa invented culture. 😂😁😀😆😉😊😅😎 You mean you want billionaires only like you in? Well, we know you love cheap underpaid Mexican workers? So rather unjust. You are just a populist clown, who says any fake news for effect. ""silly women"" you call females here ? #scumbag #lierinchief #trumprussia. You will go to jail soon. https://www.google.dk/amp/s/www.vox.com/platform/amp/2018/2/13/16466542/trump-h-2b-guest-workers",0,2018-02-24 12:43:10,2,0,1,0,1,0,0,0,,,
Americans invaded Mexico and illegal immigrants that didn't want to assimilate took over and it later became Texas.,0,2018-02-24 12:43:55,2,1,0,0,1,0,0,0,,,
Marcia Delong it is not about russians..it is the muslims who want sharia law..,0,2018-02-24 12:44:03,3,3,0,0,0,0,0,0,,,
"Kristy Hall 
Oh yea...guess you want sharia law too??",0,2018-02-24 12:44:13,8,8,0,0,0,0,0,0,,,
"“Give me your tired, your poor, your huddled masses yearning to breath free, the wretched refuse of your teeming shores.  Send these, the homeless, tempest-tossed, to me.  I lift my lamp beside the golden door!”",0,2018-02-24 12:46:16,6,5,1,0,0,0,0,0,,,
I bet Matt forgets about other cultures when he goes out to eat. Unless he eats Mc Donalds 24/7,0,2018-02-24 12:46:24,3,2,0,0,1,0,0,0,,,
I don't see people coming to America and assimilating as being mutually exclusive with them retaining their culture. Keeping family traditions is important. There is a balance.,0,2018-02-24 12:46:58,3,3,0,0,0,0,0,0,,,
"Kristy Hall They come to be Americans, not change our country to be like theirs was. If that is what they want, why leave their country?",0,2018-02-24 12:47:18,11,11,0,0,0,0,0,0,,,
"Kristy Hall Culture and Religion are two VERY VERY different concepts. One should think before typing a comment out. So, if you do not know the difference allow me to explain. Religion is an ideal based on belief structure where as culture is simply traditions not influence always BY said religion. So the concepts as you can see are completely different subject matters entirely. One isn't always influence by the other. So as you can plainly tell your comment makes zero sense.",0,2018-02-24 12:47:29,4,2,1,1,0,0,0,0,,,
But we force our culture on others?,0,2018-02-24 12:47:57,1,1,0,0,0,0,0,0,,,
"""Matt Enders"" What country did your grandparents immigrate from?  My grandparents immigrated from Ireland in 1890. The first Americans are the American Indians.  We are a nation of immigrants.  There are a lot ""dead beat"" Americans.  The red states have the highest number of people on welfare, for example.",0,2018-02-24 12:48:42,1,1,0,0,0,0,0,0,,,
Stephen Mattina In what instance do we do that?,0,2018-02-24 12:48:54,5,5,0,0,0,0,0,0,,,
"Brandon Garrett When you ""explain"" things while simultaneously putting the other person down, you are wasting your time and no one learns anything.",0,2018-02-24 12:49:01,3,3,0,0,0,0,0,0,,,
Stephen in no way shape or form do we force anything from the United States on others.,0,2018-02-24 12:49:04,3,2,1,0,0,0,0,0,,,
Kristy Hall When it interferes with our laws it is a problem!,0,2018-02-24 12:49:18,5,5,0,0,0,0,0,0,,,
I'm a taxpayer and I don't want to support Corporate Welfare or the travelling expenses of this administration!,0,2018-02-24 12:49:26,3,3,0,0,0,0,0,0,,,
Stephen I think you're confusing our money and our military support with culture!,0,2018-02-24 12:50:41,0,0,0,0,0,0,0,0,,,
